,smis.uni
96,*CC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*
97,*CC(C=C1)=CC=C1C(=S)O*
98,*CC(C=C1)=CC=C1NC2=CC=C(S2)*
99,*CC(C=C1)=CC=C1NC(C=C2)=CC=C2*
100,*CC(C=C1)=CC=C1NC(=S)*
101,*CC(C=C1)=CC=C1NO*
102,*CC(C=C1)=CC=C1OC2=CC=C(S2)*
103,*CC(C=C1)=CC=C1OC(C=C2)=CC=C2*
104,*CC(C=C1)=CC=C1OC(=S)*
105,*CCC1=CC=C(S1)C2=CC=C(S2)*
106,*CCC1=CC=C(S1)C(=S)*
107,*CCC1=CC=C(S1)O*
108,*CCC(C=C1)=CC=C1C2=CC=C(S2)*
109,*CCC(C=C1)=CC=C1C(C=C2)=CC=C2*
110,*CCC(C=C1)=CC=C1C(=S)*
111,*CCC(C=C1)=CC=C1O*
112,*CCCC1=CC=C(S1)*
113,*CCCC(C=C1)=CC=C1*
114,*CCCC*
115,*CCCC(=O)*
116,*CCCC(=S)*
117,*CCCN*
118,*CCCO*
119,*CCC(=O)C1=CC=C(S1)*
120,*CCC(=O)C(C=C1)=CC=C1*
121,*CCC(=O)C(=S)*
122,*CCC(=O)O*
123,*CCC(=S)O*
124,*CCNC1=CC=C(S1)*
125,*CCNC(C=C1)=CC=C1*
126,*CCNC(=S)*
127,*CCON*
128,*CC(=O)C1=CC=C(S1)C2=CC=C(S2)*
129,*CC(=O)C1=CC=C(S1)C(C=C2)=CC=C2*
130,*CC(=O)C1=CC=C(S1)C(=O)*
131,*CC(=O)C1=CC=C(S1)C(=S)*
132,*CC(=O)C1=CC=C(S1)O*
133,*CC(=O)C(C=C1)=CC=C1C2=CC=C(S2)*
134,*CC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2*
135,*CC(=O)C(C=C1)=CC=C1C(=O)*
136,*CC(=O)C(C=C1)=CC=C1C(=S)*
137,*CC(=O)C(C=C1)=CC=C1O*
138,*CC(=O)CC1=CC=C(S1)*
139,*CC(=O)CC(C=C1)=CC=C1*
140,*CC(=O)CC(=O)*
141,*CC(=O)CC(=S)*
142,*CC(=O)CO*
143,*CC(=O)C(=S)C1=CC=C(S1)*
144,*CC(=O)C(=S)C(C=C1)=CC=C1*
145,*CC(=O)C(=S)C(=O)*
146,*CC(=O)C(=S)O*
147,*CC(=O)NC1=CC=C(S1)*
148,*CC(=O)NC(C=C1)=CC=C1*
149,*CC(=O)NC(=O)*
150,*CC(=O)NC(=S)*
151,*CC(=O)OC1=CC=C(S1)*
152,*CC(=O)OC(C=C1)=CC=C1*
153,*CC(=O)OC(=O)*
154,*CC(=O)OC(=S)*
155,*CC(=S)C1=CC=C(S1)C(=S)*
156,*CC(=S)C1=CC=C(S1)O*
157,*CC(=S)C(C=C1)=CC=C1C(=S)*
158,*CC(=S)C(C=C1)=CC=C1N*
159,*CC(=S)C(C=C1)=CC=C1O*
160,*CC(=S)CC(=S)*
161,*CC(=S)CO*
162,*CC(=S)C(=O)C(=S)*
163,*CC(=S)C(=O)O*
164,*CC(=S)NC(=S)*
165,*CC(=S)NO*
166,*CC(=S)OC(=S)*
167,*CNC1=CC=C(S1)C(C=C2)=CC=C2*
168,*CNC1=CC=C(S1)C(=O)*
169,*CNC1=CC=C(S1)C(=S)*
170,*CNC1=CC=C(S1)N*
171,*CNC1=CC=C(S1)O*
172,*CNC(C=C1)=CC=C1C2=CC=C(S2)*
173,*CNC(C=C1)=CC=C1N*
174,*CNC(C=C1)=CC=C1O*
175,*CNCC1=CC=C(S1)*
176,*CNCC(C=C1)=CC=C1*
177,*CNCC(=O)*
178,*CNCC(=S)*
179,*CNCN*
180,*CNCO*
181,*CNC(=O)C1=CC=C(S1)*
182,*CNC(=O)C(C=C1)=CC=C1*
183,*CNC(=O)C(=S)*
184,*CNC(=S)C1=CC=C(S1)*
185,*CNC(=S)C(C=C1)=CC=C1*
186,*CNC(=S)C(=O)*
187,*CNC(=S)N*
188,*CNC(=S)O*
189,*CNOC1=CC=C(S1)*
190,*CNOC(C=C1)=CC=C1*
191,*CNOC(=S)*
192,*CNON*
193,*COC1=CC=C(S1)C(C=C2)=CC=C2*
194,*COC1=CC=C(S1)O*
195,*COC(C=C1)=CC=C1O*
196,*COC(=O)O*
197,*COC(=S)O*
198,*CONC(=O)*
199,*CONO*
200,*C(=O)C1=CC=C(S1)C2=CC=C(S2)C3=CC=C(S3)*
201,*C(=O)C1=CC=C(S1)C2=CC=C(S2)C(=S)*
202,*C(=O)C1=CC=C(S1)C2=CC=C(S2)O*
203,*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2C3=CC=C(S3)*
204,*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2C(=S)*
205,*C(=O)C1=CC=C(S1)C(C=C2)=CC=C2O*
206,*C(=O)C1=CC=C(S1)C(=O)C2=CC=C(S2)*
207,*C(=O)C1=CC=C(S1)C(=O)C(=S)*
208,*C(=O)C1=CC=C(S1)C(=O)O*
209,*C(=O)C1=CC=C(S1)C(=S)C2=CC=C(S2)*
210,*C(=O)C1=CC=C(S1)C(=S)O*
211,*C(=O)C1=CC=C(S1)OC2=CC=C(S2)*
212,*C(=O)C1=CC=C(S1)OC(=S)*
213,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C3=CC=C(S3)*
214,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C(C=C3)=CC=C3*
215,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)C(=S)*
216,*C(=O)C(C=C1)=CC=C1C2=CC=C(S2)O*
217,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(S3)*
218,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3*
219,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)*
220,*C(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2O*
221,*C(=O)C(C=C1)=CC=C1C(=O)C2=CC=C(S2)*
222,*C(=O)C(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2*
223,*C(=O)C(C=C1)=CC=C1C(=O)C(=S)*
224,*C(=O)C(C=C1)=CC=C1C(=O)O*
225,*C(=O)C(C=C1)=CC=C1C(=S)C2=CC=C(S2)*
226,*C(=O)C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*
227,*C(=O)C(C=C1)=CC=C1C(=S)O*
228,*C(=O)C(C=C1)=CC=C1OC2=CC=C(S2)*
229,*C(=O)C(C=C1)=CC=C1OC(C=C2)=CC=C2*
230,*C(=O)C(C=C1)=CC=C1OC(=S)*
231,*C(=O)C(=S)OC(=S)*
232,*C(=O)OC1=CC=C(S1)C(=S)*
233,*C(=O)OC1=CC=C(S1)O*
234,*C(=O)OC(C=C1)=CC=C1C(=S)*
235,*C(=O)OC(C=C1)=CC=C1O*
236,*C(=O)OC(=O)O*
237,*C(=O)OC(=S)O*
238,*NC1=CC=C(S1)C2=CC=C(S2)C3=CC=C(S3)*
239,*NC1=CC=C(S1)C2=CC=C(S2)C*
240,*NC1=CC=C(S1)C2=CC=C(S2)C(=O)*
241,*NC1=CC=C(S1)C2=CC=C(S2)C(=S)*
242,*NC1=CC=C(S1)C(C=C2)=CC=C2C3=CC=C(S3)*
243,*NC1=CC=C(S1)C(C=C2)=CC=C2C(=S)*
244,*NC1=CC=C(S1)C(=O)C2=CC=C(S2)*
245,*NC1=CC=C(S1)C(=O)C(=S)*
246,*NC1=CC=C(S1)C(=O)O*
247,*NC1=CC=C(S1)C(=S)C2=CC=C(S2)*
248,*NC1=CC=C(S1)C(=S)C(C=C2)=CC=C2*
249,*NC1=CC=C(S1)NC2=CC=C(S2)*
250,*NC1=CC=C(S1)NC(=S)*
251,*NC1=CC=C(S1)OC2=CC=C(S2)*
252,*NC1=CC=C(S1)OC(=S)*
253,*NC(C=C1)=CC=C1C2=CC=C(S2)C3=CC=C(S3)*
254,*NC(C=C1)=CC=C1C2=CC=C(S2)C(C=C3)=CC=C3*
255,*NC(C=C1)=CC=C1C2=CC=C(S2)C(=S)*
256,*NC(C=C1)=CC=C1C(C=C2)=CC=C2C3=CC=C(S3)*
257,*NC(C=C1)=CC=C1C(C=C2)=CC=C2C(C=C3)=CC=C3*
258,*NC(C=C1)=CC=C1C(C=C2)=CC=C2C*
259,*NC(C=C1)=CC=C1C(C=C2)=CC=C2C(=S)*
260,*NC(C=C1)=CC=C1C(C=C2)=CC=C2O*
261,*NC(C=C1)=CC=C1C(=O)C2=CC=C(S2)*
262,*NC(C=C1)=CC=C1C(=O)C(C=C2)=CC=C2*
263,*NC(C=C1)=CC=C1C(=O)C(=S)*
264,*NC(C=C1)=CC=C1C(=O)O*
265,*NC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*
266,*NC(C=C1)=CC=C1NC2=CC=C(S2)*
267,*NC(C=C1)=CC=C1NC(C=C2)=CC=C2*
268,*NC(C=C1)=CC=C1NO*
269,*NC(C=C1)=CC=C1OC2=CC=C(S2)*
270,*NC(C=C1)=CC=C1OC(C=C2)=CC=C2*
271,*NC(C=C1)=CC=C1OC(=S)*
272,*NC(=O)C1=CC=C(S1)C(C=C2)=CC=C2*
273,*NC(=O)C1=CC=C(S1)C(=O)*
274,*NC(=O)C1=CC=C(S1)C(=S)*
275,*NC(=O)C1=CC=C(S1)O*
276,*NC(=O)C(C=C1)=CC=C1C2=CC=C(S2)*
277,*NC(=O)C(C=C1)=CC=C1C(C=C2)=CC=C2*
278,*NC(=O)C(C=C1)=CC=C1C(=S)*
279,*NC(=O)C(C=C1)=CC=C1O*
280,*NC(=O)C(=S)C1=CC=C(S1)*
281,*NC(=O)C(=S)C(C=C1)=CC=C1*
282,*NC(=O)C(=S)C(=O)*
283,*NC(=O)C(=S)O*
284,*NC(=O)NC1=CC=C(S1)*
285,*NC(=O)*
286,*NC(=O)NC(=S)*
287,*NC(=O)NO*
288,*NC(=O)OC(=C1)SC(=C1)*
289,*NC(=O)OC(C=C1)=CC=C1*
290,*NC(=O)OC(=S)*
291,*NC(=S)C(=C1)SC(=C1)C(=S)*
292,*NC(=S)C(=C1)SC(=C1)O*
293,*NC(=S)C(C=C1)=CC=C1O*
294,*NC(=S)C(=O)C(=S)*
295,*NC(=S)C(=O)O*
296,*NC(=S)NC(C=C1)=CC=C1*
297,*NC(=S)NC(=S)*
298,*NC(=S)NO*
299,*NC(=S)OC(=S)*
300,*NOC(C=C1)=CC=C1O*
301,*NOC(=O)O*
302,*NOC(=S)O*
303,*NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2OC(C=C3)=CC=C3*
304,*NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C=C2)=CC=C2CC(C=C3)=CC=C3*
305,*NC(=S)NC(C=C1)=CC=C1NC(=S)NCCCCCC*
306,*NC(=S)NC(C=C1)=CC=C1CC(C=C2)=CC=C2*
307,*CCOCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O*
308,*CCCCCOC(=O)NC(=CC=C1(C))C=C1NC(=O)O*
309,*CNC(C=C1)=CC=C1C(=O)*
310,*C(C=C1)=CC=C1C(C=C2)=CC=C2CO*
311,*C(C=C1)=CC=C1NC(=O)N*
312,*C(C=C1)=CC=C1C(=O)NC(=O)*
313,*NC(=O)OC(=O)*
314,*C(=O)C(=S)C(=O)O*
315,*CCNC(=O)*
316,*N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4CCCCCC*
317,*N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COCCOCCOC(C)COCC(C)*
318,*C(S1)=CC=C1C(S2)=CC=C2C(=S)C(S3)=CC=C3C(=O)NC(=O)N*
319,*C(S1)=CC=C1C(=S)C(S2)=CC=C2C(=S)C(=O)NC(C=C3)=CC=C3C(S4)=CC=C4*
320,*C(C=C1)=CC=C1C(C=C2)=CC=C2CC(=S)C(S3)=CC=C3C(=S)CO*
321,*C(C=C1)=CC=C1NC(S2)=CC=C2C(S3)=CC=C3C(=S)C(S4)=CC=C4C(S5)=CC=C5N*
322,*C(C=C1)=CC=C1NC(C=C2)=CC=C2C(=S)NC(S3)=CC=C3C(=O)N*
323,*C(C=C1)=CC=C1OC(=O)CC(=O)CCO*
324,*CCCCNC(=O)CC*
325,*CCC(=O)OC(=O)CC(C=C1)=CC=C1C(C=C2)=CC=C2*
326,*CCOC(=O)NCCO*
327,*CCOC(=O)OCCO*
328,*CCOC(=S)NC(=S)C(C=C1)=CC=C1N*
329,*CNCCCOCO*
330,*CNCNC(=O)NC(=O)N*
331,*CNC(=O)NCOCO*
332,*CNC(=O)ONC(=O)NO*
333,*COCOCCCC*
334,*COCOCCCO*
335,*COC(=O)NCCNC*
336,*C(=O)C(S1)=CC=C1NC(=S)OC(S2)=CC=C2NC(S3)=CC=C3*
337,*C(=O)NC(=O)CNC(=O)ON*
338,*C(=O)NC(=O)NCCCN*
339,*C(=O)NC(=O)NC(=O)NC(S1)=CC=C1N*
340,*C(=O)NC(=O)OC(=O)NCN*
341,*C(=O)NOCCCCO*
342,*C(=O)NONC(=O)NC(S1)=CC=C1N*
343,*C(=O)OCCCCCO*
344,*C(=S)C(=O)CCNC(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2*
345,*OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O)*
346,*C(F)(F)C(S1)=CC=C1C(F)(F)C(S2)=CC=C2*
347,*C(F)(F)C(S1)=CC=C1C(F)(F)C(=S)*
348,*C(F)(F)C(S1)=CC=C1C(F)(F)O*
349,*C(F)(F)C(C=C1)=CC=C1C(F)(F)C(S2)=CC=C2*
350,*C(F)(F)C(C=C1)=CC=C1C(F)(F)C(C=C2)=CC=C2*
351,*C(F)(F)C(C=C1)=CC=C1C(F)(F)C(=S)*
352,*C(F)(F)C(C=C1)=CC=C1C(F)(F)O*
353,*C(F)(F)C(F)(F)C(S1)=CC=C1C(S2)=CC=C2*
354,*C(F)(F)C(F)(F)C(S1)=CC=C1C(=S)*
355,*C(F)(F)C(F)(F)C(S1)=CC=C1O*
356,*C(F)(F)C(F)(F)C(C=C1)=CC=C1C(S2)=CC=C2*
357,*C(F)(F)C(F)(F)C(C=C1)=CC=C1C(C=C2)=CC=C2*
358,*C(F)(F)C(F)(F)C(C=C1)=CC=C1C(=S)*
359,*C(F)(F)C(F)(F)C(C=C1)=CC=C1O*
360,*C(F)(F)C(F)(F)CC(S1)=CC=C1*
361,*C(F)(F)C(F)(F)CC(C=C1)=CC=C1*
362,*C(F)(F)C(F)(F)CC(=O)*
363,*C(F)(F)C(F)(F)CC(=S)*
364,*C(F)(F)C(F)(F)CN*
365,*C(F)(F)C(F)(F)CO*
366,*C(F)(F)C(F)(F)C(=O)C(S1)=CC=C1*
367,*C(F)(F)C(F)(F)C(=O)C(C=C1)=CC=C1*
368,*C(F)(F)C(F)(F)C(=O)C(=S)*
369,*C(F)(F)C(F)(F)C(=O)O*
370,*C(F)(F)C(F)(F)C(=S)O*
371,*C(F)(F)C(F)(F)NC(S1)=CC=C1*
372,*C(F)(F)C(F)(F)NC(C=C1)=CC=C1*
373,*C(F)(F)C(F)(F)NC(=O)*
374,*C(F)(F)C(F)(F)NC(=S)*
375,*C(F)(F)C(F)(F)ON*
376,*C(F)(F)CC(F)(F)C(S1)=CC=C1*
377,*C(F)(F)CC(F)(F)C(C=C1)=CC=C1*
378,*C(F)(F)CC(F)(F)C(=O)*
379,*C(F)(F)CC(F)(F)C(=S)*
380,*C(F)(F)CC(F)(F)N*
381,*C(F)(F)CC(F)(F)O*
382,*C(F)(F)C(=O)C(F)(F)C(S1)=CC=C1*
383,*C(F)(F)C(=O)C(F)(F)C(C=C1)=CC=C1*
384,*C(F)(F)C(=O)C(F)(F)C(=O)*
385,*C(F)(F)C(=O)C(F)(F)O*
386,*C(F)(F)C(=S)C(F)(F)O*
387,*C(F)(F)NC(F)(F)C(S1)=CC=C1*
388,*C(F)(F)NC(F)(F)C(C=C1)=CC=C1*
389,*C(F)(F)NC(F)(F)C(=O)*
390,*C(F)(F)NC(F)(F)C(=S)*
391,*C(F)(F)NC(F)(F)N*
392,*C(F)(F)NC(F)(F)O*
393,*C(F)(F)OC(F)(F)O*
394,[*]CC([*])(C(=O)N)
395,C([*])C([*])(C(=O)NC(C)C)
396,C([*])C([*])(C(=O)NCCCCCCCC)
397,C([*])C([*])(C(=O)NC(C)(C)C)
398,C([*])C([*])(C(=O)NC1=CC=CC=C1)
