,smis.uni
488,C([*])(=O)OC(C=C1)=CC=C1CC(C=C2)=CC=C2O([*])
489,C([*])COC(=O)O([*])
490,C([*])C(C)OC(=O)O([*])
491,C([*])(=O)OC(C([Cl])=C1)=C([Cl])C=C1C(C)(C)C(C=C2([Cl]))=CC([Cl])=C2O([*])
492,C([*])(=O)OC(C(C)=C1)=C(C)C=C1C(C)(C)C(C=C2(C))=CC(C)=C2O([*])
493,C([*])([Cl])(F)C([*])(F)(F)
494,C([*])(F)(F)C([*])(F)(F)
495,C([*])([Cl])C([*])
496,C([*])([Cl])([Cl])C([*])
497,C([*])C([*])(C#N)(C(=O)OC)
498,C([*])C([*])(C#N)(C(=O)OCC)
499,C([*])C([*])(C#N)(C(=O)OCCCC)
500,C([*])C([*])(C#N)(C(=O)OCCCCCCCC)
501,C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2O([*])
502,C([*])C(O)COC(C=C1)=CC=C1CC(C=C2)=CC=C2O([*])
503,C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2OCC(O)CNCCN([*])
504,C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2OCC(O)CNCCCCCCN([*])
505,C([*])C(O)COC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2OCC(O)CNCCCCCCCCN([*])
506,C([*])C([Cl])=CC([*])
507,C([*])(C(=O)OC)(CC(=O)OC)C([*])
508,C([*])(C(=O)OCCC)(CC(=O)OCCC)C([*])
509,C([*])(C(=O)OCCCC)(C(=O)OCCCC)C([*])
510,C([*])(C(=O)OCCCCCC)(CC(=O)OCCCCCC)C([*])
511,C([*])C([*])(C)(C(=O)NC(=O)C)
512,C([*])C([*])(C)(C(=O)NCC1=CC=CC=C1)
513,C([*])C([*])(C)(C(=O)NC(C)(C)C)
514,C([*])C([*])(C)(C(=O)O)
515,C([*])C([*])(C)(C(=O)OCC1=CC=CC=C1)
516,C([*])C([*])(C)(C(=O)OCCCC)
517,C([*])C([*])(C)(C(=O)OC1CCCCC1)
518,C([*])C([*])(C)(C(=O)OCCCCCCCCCC)
519,C([*])C([*])(C)(C(=O)OCCCCCCCCCCCC)
520,C([*])C([*])(C)(C(=O)OCCOCC)
521,C([*])C([*])(C)(C(=O)OCC)
522,C([*])C([*])(C)(C(=O)OCCCCCC)
523,C([*])C([*])(C)(C(=O)OCCO)
524,C([*])C([*])(C)(C(=O)OCC(O)C)
525,C([*])C([*])(C)(C(=O)OCC(C)C)
526,C([*])C([*])(C)(C(=O)OC(C)C)
527,C([*])C([*])(C)(C(=O)OC)
528,C([*])C([*])(C)(C(=O)OCCCCCCCCCCCCCCCCCC)
529,C([*])C([*])(C)(C(=O)OCCCCCCCC)
530,C([*])C([*])(C)(C(=O)OCCC1=CC=CC=C1)
531,C([*])C([*])(C)(C(=O)OC1=CC=CC=C1)
532,C([*])C([*])(C)(C(=O)OCCC)
533,C([*])C([*])(C)(C(=O)OCC[Cl])
534,C([*])C([*])(C)(C(=O)OC(C)CC)
535,C([*])C([*])(C)(C(=O)OC1CCC(CC1)C(C)(C)C)
536,C([*])C([*])(C)(C(=O)OC(C)(C)C)
537,C([*])C(C)(C(=O)OCC(F)(F)C([*])(F)F)
538,C([*])C([*])(C1=C(OC)C=CC=C1)
539,C([*])C([*])(C)(C1=CC=CC=C1)
540,C([*])C([*])(C1=C(C)C=CC=C1)
541,C([*])C([*])(C1=CC(C)=CC=C1)
542,C([*])C([*])(C1=CC=C(C)C=C1)
543,C([*])C([*])(C(C=C1)=CC=C1C(C)(C)C)
544,C([*])C([*])(C#N)(C)
545,C([*])C(C=C1)=C([Cl])C=C1C([*])
546,O([*])C(C(C)=C1)=C(C)C=C1([*])
547,O([*])C(C(C2=CC=CC=C2)=C1)=C(C3=CC=CC=C3)C=C1([*])
548,S([*])C(C=C1)=CC=C1([*])
549,S([*])CC([*])
550,S([*])CC([*])(C)
551,O([*])CCOCCOC(=O)NCCCCCCNC([*])(=O)
552,O([*])CCOCCOCCOCCOC(=O)NCCCCCCNC([*])(=O)
553,O([*])CCCCOC(=O)NC(C=C1)=CC=C1CC(C=C2)=CC=C2NC([*])(=O)
554,O([*])CCOC(=O)NC(C=C1)=CC=C1CC(C=C2)=CC=C2NC([*])(=O)
555,C([*])(O)C([*])
556,C([*])C([*])(C1=CC=C(O)C=C1)
557,C1([*])CC(OC(CCC)O1)C([*])
558,C([*])C([*])(OC(=O)C)
559,C([*])C([*])(OC(=O)C1=CC=CC=C1)
560,C([*])C([*])(OC(=O)CCC)
561,C([*])C([*])(OC(=O)CCCCC)
562,C([*])C([*])(OC=O)
563,C([*])C([*])(OC(=O)CC)
564,C([*])C([*])(OC(=O)CCCC)
565,C([*])C([*])(OCCCC)
566,C([*])C([*])(OCC)
567,C([*])C([*])(OCC(C)C)
568,C([*])C([*])(OC(C)C)
569,C([*])C([*])(OC)
570,C([*])C([*])(OCCCCCCCC)
571,C([*])C([*])(OCCC)
572,C([*])(C(=O)CC)C([*])
573,C([*])(C(=O)C)C([*])
574,C([*])(C(=O)(C))(C)C([*])
575,C([*])(C(=O)C1=CC=CC=C1)C([*])
576,C([*])C([*])(SCCCC)
577,C([*])C([*])(SCC)
578,C([*])C([*])(SC)
579,C([*])C([*])(SC1=CC=CC=C1)
580,C([*])C([*])(SCCC)
581,C([*])=CC(C)C([*])
582,C([*])=CCCC([*])
583,C([*])=CCC(C)C([*])
584,C([*])=CCCCC([*])
585,C([*])=CCCC(C)C([*])
586,C([*])=CCCCCCCCCCCCCCCCC([*])
587,C([*])C([*])(C1=CC=C(OC)C=C1)
588,C([*])C([*])(C1=CC=C(C2=CC=CC=C2)C=C1)
589,C([*])=CC([*])(C1=CC=CC=C1)
590,C([*])C([*])(C1CCCC1)
591,C([*])(C=C1)=CC(C(C)=C2)=C1C=C2([*])
592,C([*])C([*])(OCCCCCC)
593,C([*])C([*])(OC(=O)C[Cl])
594,C([*])C([*])(OC(=O)C(F)(F)(F))
595,C([*])C([*])(N1CCCC1(=O))
596,C([*])C([*])(N3C1=CC=CC=C1C2=CC=CC=C23)
597,C([*])C([*])(C)(C(=O)OCC(CC)CC)
598,C([*])C([*])([Cl])(OC(=O)C)
599,C([*])C=C(C(C)(C)(C))C([*])
600,C([*])(C)O([*])
601,C([*])CCCCCCCO([*])
602,C([*])(C)C(C)O([*])
603,C([*])C(C1=CC=CC=C1)O([*])
604,C([*])C(C)OCO([*])
605,C([*])C(C)OC(C=C1)=CC=C1O([*])
606,C([*])CCCC(=O)OCCCCOC([*])(=O)
607,C([*])CCCCCCC(=O)OCCOC([*])(=O)
608,C([*])CCCCCCCC(=O)OCCCCCCCCCCOC([*])(=O)
609,C([*])C(C)(C)C(=O)O([*])
610,C([*])(C=C1)=CC=C1C(=O)O([*])
611,C([*])COC(C=C1)=CC=C1C(=O)O([*])
612,C([*])(C=C1)=CC=C1C(=O)OCCCCCCOC([*])(=O)
613,C([*])(C=C1)=CC=C1C(=O)OCCCCCCCCCCOC([*])(=O)
614,C([*])(C=C1)=CC=C1C(=O)OCC(CC1)CCC1COC([*])(=O)
615,N([*])C(C)CC([*])(=O)
616,N([*])CCCCCCCCC([*])(=O)
617,N([*])CCCCCCCCCC([*])(=O)
618,N([*])CCCCCCCNC(=O)CCCCCC([*])(=O)
619,N([*])CCCCCCCCNC(=O)CCCCCCC([*])(=O)
620,N([*])CCCCCCCCCNC(=O)CCCCCCCC([*])(=O)
621,N([*])CCCCCCCCCCNC(=O)CCCCCCCC([*])(=O)
622,N([*])CCCCCCCCCNC(=O)CCCCCCCCC([*])(=O)
623,N([*])C(CC1)CCC1CC(CC2)CCC2NC(=O)CCCCCCCCCCC([*])(=O)
624,N([*])CC(C=C1)=CC=C1CNC(=O)CCCCCCCCC([*])(=O)
625,N([*])CC(C)(C)CC(C)CCNC(=O)C(C=C1)=CC=C1C([*])(=O)
626,N([*])C(CN1)NCC1NC(=O)CCCCCCCCC([*])(=O)
627,O([*])C(=O)OC(C=C1)=CC=C1C(C)C(C=C2)=CC=C2([*])
628,O([*])C(=O)OC(C=C1)=CC=C1C(C)(C)C(C=C2)=CC=C2([*])
629,O([*])C(=O)OC(C=C1)=CC=C1C(CCC)C(C=C2)=CC=C2([*])
630,O([*])C(=O)OC(C=C1)=CC=C1CC(C)(C)C(C=C2)=CC=C2([*])
631,O([*])C(=O)OC(C=C1)=CC=C1C(CCC)(C)C(C=C2)=CC=C2([*])
632,O([*])C(=O)OC(C=C1)=CC=C1C(CCCC)(C)C(C=C2)=CC=C2([*])
633,O([*])C(=O)OC(C=C1)=CC=C1C(C2=CC=CC=C2)(C)C(C=C3)=CC=C3([*])
634,O([*])C(=O)OC(C=C1)=CC=C1C(C=C2)=CC=C2CC(C=C3)=CC=C3C(C=C4)=CC=C4([*])
635,O([*])C(=O)OC(C=C1)=CC=C1C2(CCCC2)C(C=C3)=CC=C3([*])
636,O([*])C(=O)OC(C=C1)=CC=C1C2(CCCCC2)C(C=C3)=CC=C3([*])
637,O([*])C(=O)OC(C=C1)=C(C)C=C1C(C)(C)C(C=C2)=CC(C)=C2([*])
638,O([*])C(=O)OC(C=C1)=C([Cl])C=C1C(C)(C)C(C=C2)=CC([Cl])=C2([*])
639,O([*])C(=O)OC(C([Cl])=C1)=C([Cl])C=C1C2(CCCCC2)C(C=C3([Cl]))=CC([Cl])=C3([*])
640,C([*])(C=C1)=CC=C1C(F)(F)C([*])(F)(F)
641,C([*])(=O)CCCCOC(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)O([*])
642,C([*])C([*])(COOc1ccccc1Cl)
643,C([*])C([*])(COOc1cc(Cl)ccc1)
644,C([*])C([*])(Cl)(CC(=O)OCCC)
645,C([*])C([*])(c1ccc(I)cc1)
646,C([*])CC(C)CCC([*])
647,C([*])C([*])(C(=O)OCc1ccco1)
648,C([*])C([*])(C(=O)OCC(F)(F)C(F)(F)C(F)(F)F)
649,C([*])C([*])(C(=O)OCCOC)
650,C([*])C([*])(C(=O)Oc2ccc1ccccc1c2)
651,C([*])C([*])(C(=O)OCc1c(Br)c(Br)c(Br)c(Br)c1Br)
652,C([*])C([*])C(=O)(OCc1c(F)c(F)c(F)c(F)c1F)
653,C([*])C([*])(C(=O)OCCc1ccccc1)
654,C([*])C([*])(C(=O)OCC(F)(F)F)
655,C([*])C([*])(C(=O)OC1CC(C)CC(C)(C)C1)
656,C([*])C([*])C(=O)(N(CCCC)CCCC)
657,C([*])C([*])(C(=O)N(C)C)
658,C([*])C([*])(C(=O)N(C(C)C)C(C)C)
659,C([*])C([*])(C(=O)N(C)c1ccccc1)
660,C([*])C([*])(C(=O)Oc2ccc(c1ccccc1)cc2)
661,C([*])C([*])(C(=O)Oc1ccc(C(=O)OCCCC)cc1)
662,C([*])C([*])(C(=O)Oc1ccccc1C(C)(C)C)
663,C([*])C([*])(C(=O)Oc1ccc(C(C)(C)C)cc1)
664,C([*])C([*])(C(=O)OCC(CCl)(CCl)CCl)
665,C([*])C([*])(C(=O)OCCOCCC#N)
666,C([*])C([*])(C(=O)Oc1ccc(C#N)cc1)
667,C([*])C([*])(C(=O)OCc1ccc(C#N)cc1)
668,C([*])C([*])(C(=O)OCC(C)(C)C#N)
669,C([*])C([*])(C(=C)OCC(C#N)CCCCC)
670,C([*])C([*])(C(=C)OCC(C#N)CCCC)
671,C([*])C([*])(C(=O)OCCSC#N)
672,C([*])C([*])(C(=O)OCCSCCCC#N)
673,C([*])C([*])(C(=O)OCCCCCCSCC#N)
674,C([*])C([*])(C(=O)OCCCSCCC#N)
675,C([*])C([*])(C(=O)OCCSCCC#N)
676,C([*])C([*])(C(=O)Oc1cccc(N(C)C)c1)
677,C([*])C([*])(C(=O)OCCCCCCCCCCCC)
678,C([*])C([*])(C(=O)Oc1ccccc1C(=O)OCC)
679,C([*])C([*])(C(=O)Oc1cccc(C(=O)OCC)c1)
680,C([*])C([*])(C(=O)Oc1ccc(C(=O)OCC)cc1)
681,C([*])C([*])(C(=O)OCCOCC)
682,C([*])C([*])(C(=O)OCC(CC)CC)
683,C([*])C([*])(C(=O)OCF)
684,C([*])C([*])(C(=O)OCCOCC(F)(F)C(F)(F)C(F)(F)F)
685,C([*])C([*])(C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F)
686,C([*])C([*])(C(=O)OCCCCCCC)
687,C([*])C([*])(C(=O)OCCCCCCCCCCCCCCCC)
688,C([*])C([*])(C(=O)OCCC(C)OC)
689,C([*])C([*])(C(=O)Oc1ccccc1C(=O)OC)
690,C([*])C([*])(C(=O)Oc1cccc(C(=O)OC)c1)
691,C([*])C([*])(C(=O)Oc1ccc(C(=O)OC)cc1)
692,C([*])C([*])(C(=O)Oc1ccc(OC)cc1)
693,C([*])C([*])(C(=O)OCCCOC)
694,C([*])C([*])(C(=O)OCC(C)CC)
695,C([*])C([*])(C(=O)OCCC(C)C)
696,C([*])C([*])(C(=O)OC(CCC(CC)CCCC)CC(C)C)
697,C([*])C([*])(C(=O)OCC(C)CCC)
698,C([*])C([*])(C(=O)OCC(C)(C)C)
699,C([*])C([*])(C(=O)OCCCCCCCCC)
700,C([*])C([*])(C(=O)OC(C)CCCCCC)
701,C([*])C([*])(C(=O)OC(CC)CC)
702,C([*])C([*])(CC)(C(=O)Oc1ccccc1)
703,C([*])C([*])(C(=O)OCCSC)
704,C([*])C([*])(C(=O)OCCCCSC)
705,C([*])C([*])(C(=O)OCCSCC)
706,C([*])C([*])(C(=O)OCCCSC)
707,C([*])C([*])(C(=O)OC1C=C(C)C=CC1)
708,C([*])C([*])(C(=O)Oc1ccccc1C)
709,C([*])C([*])(C(=O)Oc1ccc(C)cc1)
710,C([*])C([*])(C(=O)OCCOCC(F)(F)F)
711,C([*])C([*])(C(=O)NCCCC)
712,C([*])C([*])(C(=O)NC(C)CCC)
713,C([*])C([*])(C(=O)N1CCOCC1)
714,C([*])C([*])(C(=O)NCCCCCCCCCCCCCCCCCC)
715,C([*])C([*])(C(=O)NN1CCCCC1)
716,C([*])C([*])(C)(C(=O)OCCBr)
717,C([*])C([*])(C)(C(=O)OCCNC(C)(C)C)
718,C([*])C([*])(C)(C(=O)Oc1ccc(C(C)(C)C)cc1)
719,C([*])C([*])(C)(C(=O)OCCCC#N)
720,C([*])C([*])(C)(C(=O)Oc1ccc(CC#N)cc1)
721,C([*])C([*])(C)(C(=O)Oc1ccc(C#N)cc1)
722,C([*])C([*])(C)(C(=O)OC1CCC1)
723,C([*])(C)C([*])(C(=O)OC1CCCCCCC1)
724,C([*])C([*])(C)(C(=O)OCC1CCCCCCC1)
725,C([*])C([*])(C)(C(=O)OC1CCCC1)
726,C([*])C([*])(C)(C(=O)OCCC(C)(C)C)
727,C([*])C([*])(C)(C(=O)OC(C)C(C)(C)C)
728,C([*])C([*])(C)(C(=O)OCC(CC)CCCC)
729,C([*])C([*])(C)(C(=O)OCCS(=O)CC)
730,C([*])C([*])(C(=O)OCC1CO1)
731,C([*])C([*])(C)(C(=O)Oc1ccc(C(=O)OC)cc1)
732,C([*])(C)C([*])(C(=O)OCCN=O)
733,C([*])C([*])(C)(C(=O)OCCOC)
734,C([*])C([*])(C)C(=O)OCCCCC
735,C([*])C([*])(C)(C(=O)OCCCCCCCCCCCCCC)
736,C([*])C([*])(C)(C(=O)OC1CC(C)CC(C)(C)C1)
737,C([*])C([*])(C)(C(=O)OCCC(C)CC(C)(C)C)
738,C([*])C([*])(Cl)(C(=O)OCCCC)
739,C([*])C([*])(Cl)(C(=O)OC(C)CC)
740,C([*])C([*])(Cl)(C(=O)OC1CCCCC1)
741,C([*])C([*])(Cl)(C(=O)OCC(C)C)
742,C([*])C([*])(Cl)(C(=O)OC(C)C)
743,C([*])C([*])(Cl)(C(=O)OC)
744,C([*])C([*])(F)(C(=O)OC)
745,C([*])C([*])(CC1CCCCC1)
746,C([*])C([*])(CC1CCCC1)
747,C([*])C([*])(CCC(C)(C)C)
748,C([*])C([*])(CCCC(C)(C)C)
749,C([*])C([*])(CCCCCC)(CCCCCCCCCC)
750,C([*])C([*])(CCCC(C)C)
751,C([*])C([*])(CCC(C)C)
752,C([*])C([*])(CC(C)(C)C)
753,C([*])C([*])(CCCCCCCCC)
754,C([*])C([*])(CCCCCCCCCCCCCC)
755,C([*])/C=C(C)C([*])
756,C([*])C([*])(c1ccc(C(C)=O)cc1)
757,C([*])C([*])(c2ccc(C(=O)c1ccccc1)cc2)
758,C([*])C([*])(C3=CC(c2ccc(c1ccccc1)cc2)CC=C3)
759,C([*])C([*])(C3=CCC(c2ccc(c1ccccc1)cc2)C=C3)
760,C([*])C([*])(C1=C(OCCCC)C=CC(Br)C1)
761,C([*])C([*])(C1=C(OCC)C=CC(Br)C1)
762,C([*])C([*])(C1=C(OCCC(C)C)C=CC(Br)C1)
763,C([*])C([*])(C1=C(OC(C)C)C=CC(Br)C1)
764,C([*])C([*])(C1=C(OC)C=CC(Br)C1)
765,C([*])C([*])(C1=C(OCCCCC)C=CC(Br)C1)
766,C([*])C([*])(C1=C(OCCC)C=CC(Br)C1)
767,C([*])C([*])(c1ccc(Br)cc1)
768,C([*])C([*])(c1ccccc1C(=O)OCCCC)
769,C([*])C([*])(c1ccc(C(=O)OCCCC)cc1)
770,C([*])C([*])(c1ccccc1COCCCC)
771,C([*])C([*])(c1ccc(COCCCC)cc1)
772,C([*])C([*])(c1ccc(OCCCC)cc1)
773,C([*])C([*])(c1ccc(CCCC)cc1)
774,C([*])C([*])(c1ccc(C(C)CC)cc1)
775,C([*])C([*])(c1ccc(C(=O)CCC)cc1)
776,C([*])C([*])(c1ccccc1C(=O)O)
777,C([*])C([*])(c1ccc(C(=O)O)cc1)
778,C([*])C([*])(c1ccc(Cl)c(F)c1)
779,C([*])C([*])(c1ccc(Cl)cc1C)
780,C([*])C([*])(c1ccc(Cl)c(C)c1)
781,C([*])C([*])(c1cccc(Cl)c1)
782,C([*])C([*])(c1ccc(C#N)cc1)
783,C([*])C([*])(c1ccc(CCCCCCCCCC)cc1)
784,C([*])C([*])(c1ccc(Cl)cc1Cl)
785,C([*])C([*])(c1cc(Cl)ccc1Cl)
786,C([*])C([*])(c1c(Cl)cccc1Cl)
787,C([*])C([*])(c1ccc(Cl)c(Cl)c1)
788,C([*])C([*])(c1ccc(C(=O)N(CC)CC)cc1)
789,C([*])C([*])(c1ccc(F)cc1F)
790,C([*])C([*])(c1cc(C(C)C)ccc1C(C)C)
791,C([*])C([*])(c1ccccc1C(=O)N(C)C)
792,C([*])C([*])(c1ccc(C(=O)N(C)C)cc1)
793,C([*])C([*])(c1ccccc1C(=O)OCCN(C)C)
794,C([*])C([*])(c1ccc(C(=O)OCCN(C)C)cc1)
795,C([*])C([*])(c1cc(C)ccc1C)
796,C([*])C([*])(c1ccc(C)c(C)c1)
797,C([*])C([*])(c1cc(C)cc(C)c1)
798,C([*])C([*])(c1ccc(CCCCCCCCCCCC)cc1)
799,C([*])C([*])(c1ccccc1C(=O)OCC)
800,C([*])C([*])(c1ccc(C(=O)OCC)cc1)
801,C([*])C([*])(c1ccccc1COCC)
802,C([*])C([*])(c1ccc(OCC)cc1)
803,C([*])C([*])(c1ccccc1CC)
804,C([*])C([*])(c1cccc(CC)c1)
805,C([*])C([*])(c1ccc(CC)cc1)
806,C([*])C([*])(c1cc(C)ccc1F)
807,C([*])C([*])(c1ccc(CCCCCCCCCCCCCCCC)cc1)
808,C([*])C([*])(c1ccc(C(=O)CCCCC)cc1)
809,C([*])C([*])(c1ccccc1C(=O)OCCCCCC)
810,C([*])C([*])(c1ccc(C(=O)OCCCCCC)cc1)
811,C([*])C([*])(c1ccc(COCCCCC)cc1)
812,C([*])C([*])(c1ccc(CCCCCC)cc1)
813,C([*])C([*])(c1ccc(COCCCCO)cc1)
814,C([*])C([*])(c1ccc(COCC(O)CC)cc1)
815,C([*])C([*])(c1ccc(C(C)(O)CCC)cc1)
816,C([*])C([*])(c1ccc(C(C)(C)O)cc1)
817,C([*])C([*])(c1ccc(C(C)(O)CCCC)cc1)
818,C([*])C([*])(c1ccc(C(C)(O)CC)cc1)
819,C([*])C([*])(c1ccccc1CO)
820,C([*])C([*])(c1cccc(CO)c1)
821,C([*])C([*])(c1ccc(CO)cc1)
822,C([*])C([*])(c2ccc(C(O)CN1CCOCC1)cc2)
823,C([*])C([*])(c2ccc(C(O)CN1CCCCC1)cc2)
824,C([*])C([*])(c1ccccc1C(=O)OCC(C)C)
825,C([*])C([*])(c1ccc(C(=O)OCC(C)C)cc1)
826,C([*])C([*])(c1ccccc1C(=O)OCCC(C)C)
827,*N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4CCC*
828,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3C(C)COCC(C)*
829,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3C(C)COCCOCCOC(C)COCC(C)*
830,*N(C(=O)C1=C2)C(=O)C1=CC=C2C(=O)C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COC(C)*
831,*N(C(=O)C1=C2)C(=O)C1=CC=C2OC(=CC=C3C4(=O))C=C3C(=O)N4C(C)COC(C)*
832,*N(C(=O)C1=C2)C(=O)C1=CC=C2OC(=CC=C3C4(=O))C=C3C(=O)N4C(C)COCCOCCOC(C)COC(C)*
833,*N(C(=O)C1=C2)C(=O)C1=CC=C2C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COCCOCCOC(C)COC(C)*
834,*N(C(=O)C1=C2)C(=O)C1=CC=C2C(C(F)(F)(F))(C(F)(F)(F))C(=CC=C3C4(=O))C=C3C(=O)N4C(C)COC(C)*
835,*N(C1(=O))C(=O)C(=C2)C1=CC=C2OC(C=C3)=CC=C3C(C)(C)C(C=C4)=CC=C4OC(=C5)C=CC(C6(=O))=C5C(=O)N6C(C=C7)=CC=C7*
836,*C(C=C1)=CC=C1OC(C=C2)=CC=C2C(=O)C(C=C3)=CC=C3O*
837,*CC(C)CC(C)*
838,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCC*
839,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3C(C)COC(C)*
840,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCCN(C4(=O))C(=O)C(=C5)C4=CC(C6(=O))=C5C(=O)N6C(C)COC(C)*
841,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCCN(C4(=O))C(=O)C(=C5)C4=CC(C6(=O))=C5C(=O)N6C(C)COCCOCCOC(C)COCC(C)*
842,*N(C1(=O))C(=O)C(=C2)C1=CC(C3(=O))=C2C(=O)N3CCCN(C4(=O))C(=O)C(=C5)C4=CC(C6(=O))=C5C(=O)N6C(C)COC(C)*
843,*NC(=S)NC(C=C1)=CC=C1NC(=S)NC(C)COCCOC(C)COCC(C)*
844,*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCC*
845,*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCC(C)*
846,*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCCC*
847,*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCCCCCC*
848,*NC(=O)NC(C=C1)=C(C)C=C1NC(=O)NCCOCC*
849,*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCC*
850,*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCC(C)*
851,*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCCC*
852,*OC(=O)NC(C=C1)=C(C)C=C1NC(=O)OCCCCCC*
